#{"t_start": 1676295043.749491, "env_id": null}
r,l,t
-110,16,805.80878998,6,805.820313
98,68,39,805.91662,45,805.94951
99,6,805.964689
99,5,94,13,805.9797,7,805.998896
96,11,806.026548
-100-143,51,806.128992
-144,51,806.257071
-144,51,806.389503
89,17,806.432217
-101,5,806.445808
-136,43,806.555233
-102,6,806.570067
-107,13,806.601078
88,18,806.648674
90,17,806.690308
-102,7,806.710525
100,5,806.724008
-128,36,806.812501
70,37,806.901885
92,14,806.937745
-101,4,806.948389
-105,12,806.977439
100,3,806.986694
-100,3,806.995963
100,4,807.003727
83,24,807.066577
100,3,807.075965
-113,20,807.12692
100,3,807.132452
100,5,807.146013
96,8,807.168024
-104,9,807.19263
96,8,807.21028
95,11,807.241069
-145,51,807.36615
96,8,807.38482
-101,5,807.397896
96,10,807.422364
60,47,807.543912
100,4,807.555163
100,6,807.569851
100,4,807.580851
-144,51,807.709162
-143,51,807.838111
90,16,807.879475
-143,51,808.008327
-143,51,808.140345
100,3,808.146304
-100,6,808.161846
-100,5,808.17456
100,4,808.185615
75,32,808.267177
100,4,808.275247
79,28,808.350955
100,5,808.36392
100,6,808.379875
94,12,808.412675
100,3,808.418225
99,7,808.438466
-100,3,808.44401
-100,3,808.453221
-114,21,808.50555
-146,51,808.632353
100,3,808.641556
-144,51,808.771228
100,4,808.782299
-101,7,808.799461
100,3,808.808367
98,5,808.8212
-143,51,808.947309
100,4,808.958585
98,7,808.975313
100,4,808.987357
-101,4,808.998922
-102,6,809.013354
98,7,809.029282
99,6,809.047154
95,11,809.076988
97,8,809.096216
100,4,809.107141
-101,6,809.12215
-100,6,809.140746
99,5,809.153139
98,8,809.171027
-143,51,809.310243
93,12,809.347014
-100,6,809.361609
85,22,809.41564
-100,3,809.425004
89,16,809.465698
99,5,809.478613
99,8,809.500678
100,4,809.511373
-101,7,809.528112
89,16,809.567557
96,10,809.592194
96,10,809.61741
79,28,809.68784
85,21,809.740632
-106,13,809.775796
92,14,809.808101
-145,51,809.940099
100,4,809.946776
-101,7,809.967034
99,5,809.979694
100,4,809.990859
100,4,809.998445
99,7,810.019199
97,9,810.043338
-100,3,810.049209
95,11,810.076215
-103,9,810.100792
100,4,810.11142
-100,5,810.124071
-147,51,810.252394
-100,6,810.268055
96,9,810.290791
-107,14,810.328063
-100,4,810.338989
100,4,810.349759
99,6,810.364731
-110,17,810.407298
-144,51,810.538799
-100,6,810.558065
98,9,810.577298
97,9,810.601032
99,5,810.614445
100,3,810.624296
-143,51,810.753118
-143,51,810.880226
100,4,810.891373
96,9,810.914692
-112,18,810.957018
100,3,810.965973
99,5,810.978635
-146,51,811.105427
-101,6,811.120318
100,4,811.131344
100,4,811.142523
93,14,811.179183
99,5,811.191807
94,10,811.216862
-100,4,811.227995
-143,51,811.358359
91,16,811.397869
96,10,811.423403
-110,17,811.465075
-100,5,811.477941
-116,23,811.537965
100,4,811.548794
100,5,811.561642
-145,51,811.684806
100,4,811.696673
92,15,811.736415
98,6,811.75117
100,3,811.760497
-145,51,811.889042
-103,9,811.913199
-106,12,811.94107
100,4,811.951891
-143,51,812.077727
100,4,812.088742
100,4,812.099959
96,8,812.117786
-143,51,812.245187
97,7,812.264927
79,28,812.334883
100,4,812.345899
97,8,812.367785
99,6,812.382051
95,12,812.410309
100,3,812.419374
-144,51,812.548183
-112,18,812.595491
96,10,812.621028
92,16,812.661894
-144,51,812.790657
-102,7,812.811409
-102,5,812.824014
95,9,812.843921
100,3,812.853204
-145,51,812.980128
100,3,812.989513
98,8,813.007212
-108,15,813.045837
-109,14,813.081437
97,8,813.101681
-105,12,813.130515
99,5,813.143247
92,16,813.181388
-103,8,813.203349
-143,51,813.335057
100,4,813.346023
-100,4,813.35693
98,6,813.37162
100,4,813.382729
99,5,813.395479
100,4,813.406517
100,3,813.412287
100,4,813.423957
98,5,813.437417
100,3,813.446888
97,7,813.463265
98,8,813.485597
100,4,813.492829
98,7,813.513189
-143,51,813.639244
-107,14,813.675634
98,6,813.689742
93,14,813.724735
84,23,813.779934
99,5,813.792471
-143,51,813.923793
97,9,813.943712
86,21,814.001221
99,7,814.017844
98,6,814.032877
80,26,814.096843
-111,18,814.145919
92,15,814.184462
99,7,814.200714
100,5,814.213051
-100,4,814.22425
100,4,814.234829
99,7,814.251011
99,4,814.262099
-143,51,814.392572
99,6,814.412288
99,6,814.427516
77,31,814.506842
100,3,814.51591
82,24,814.569681
100,5,814.582395
67,37,814.680244
-104,10,814.706395
99,7,814.722482
64,43,814.833195
-107,14,814.869533
97,9,814.888925
97,7,814.908909
100,3,814.914103
95,11,814.944495
100,5,814.956884
100,3,814.962323
100,4,814.973024
100,4,814.983821
99,5,814.996702
98,7,815.013411
100,4,815.024268
87,18,815.069745
-101,7,815.086576
100,4,815.097464
94,12,815.126682
86,20,815.176574
87,20,815.22702
93,13,815.262946
-143,51,815.387309
-103,8,815.409209
90,16,815.446967
91,16,815.487594
99,5,815.501024
88,18,815.552195
-143,51,815.682616
97,10,815.70794
88,18,815.751768
100,3,815.761041
-107,14,815.796476
99,5,815.808587
100,3,815.813937
99,5,815.826532
-132,38,815.923474
-103,9,815.947206
99,6,815.9-143,51,815.988211
81,26,816.055401
-107,12,816.085385
-133,40,816.183094
99-145,51,816.224798
-101,6,816.239888
94,13,816.274489
-120,27,816.343462
-110,17,816.388339
-120,26,816.452261
-145,51,816.579636
99,4,816.590864
91,13,816.625943
100,3,816.63138
-143,51,816.759297
98,6,816.778173
99,5,816.791104
100,4,816.798216
93,13,816.833019
-100,4,816.844143
88,19,816.892295
-105,10,816.918289
99,6,816.932793
-102,9,816.956906
99,5,816.969237
-146,51,817.097405
99,5,817.110325
-102,8,817.129384
100,3,817.138542
-145,51,817.266844
-100,5,817.280492
100,4,817.291689
-114,20,817.34606
-144,51,817.475035
-144,51,817.601858
100,3,817.610714
100,4,817.621533
100,4,817.632315
-121,28,817.69954
-106,12,817.733652
-106,12,817.76339
93,13,817.798431
97,8,817.816606
93,14,817.852559
-100,3,817.862158
99,5,817.875113
77,28,817.944814
100,3,817.954312
98,5,817.966875
68,37,818.058043
-143,51,818.184542
-143,51,818.320996
94,13,818.352715
-103,7,818.372682
99,5,818.385296
96,8,818.403392
100,3,818.412783
-143,51,818.541175
100,4,818.552666
-119,25,818.614678
75,31,818.688774
90,16,818.728858
-131,36,818.818617
97,9,818.840848
99,5,818.853695
100,3,818.862914
95,10,818.887949
63,45,819.004275
100,3,819.010043
100,3,819.020054
-143,51,819.149932
-107,14,819.187417
100,4,819.198277
97,9,819.221752
-116,21,819.274035
92,14,819.310844
92,14,819.345016
-115,22,819.403945
-146,51,819.527567
98,7,819.543959
-112,19,819.594378
71,35,819.682126
-100,4,819.693334
99,6,819.707353
95,12,819.740537
-100,2,819.744226
97,7,819.760229
96,9,819.784023
97,8,819.805807
99,5,819.81827
90,16,819.857422
99,5,819.871782
-145,51,819.999501
-143,51,820.125365
99,6,820.144097
-37,45,820.255873
92,13,820.286381
-118,24,820.350393
98,7,820.366351
81,27,820.435845
100,5,820.449032
-105,11,820.476409
-144,51,820.601284
-143,51,820.727375
-101,8,820.750184
100,4,820.760916
73,35,820.847859
99,5,820.860874
100,4,820.871674
98,6,820.885815
-100,4,820.896977
99,7,820.913162
98,8,820.934661
100,3,820.940269
100,3,820.949621
99,6,820.964182
-143,51,821.091512
-111,17,821.136912
-146,51,821.261808
99,6,821.276421
98,8,821.29829
-144,51,821.426169
100,4,821.436743
91,16,821.477055
-102,7,821.493815
-102,6,821.508572
91,15,821.545939
-100,2,821.553564
85,21,821.605556
93,14,821.641103
97,8,821.659135
-101,7,821.679227
100,3,821.684576
98,5,821.697774
100,3,821.707498
99,5,821.720601
98,6,821.73552
100,3,821.744655
-143,51,821.871663
96,10,821.897971
-106,12,821.925563
-106,12,821.957364
-113,20,822.007762
100,4,822.01848
-143,51,822.144994
98,7,822.162305
-100,5,822.175462
-100,4,822.186536
-143,51,822.313089
100,3,822.322999
-144,51,822.452127
-143,51,822.579654
99,6,822.59477
100,3,822.603995
100,4,822.615167
-144,51,822.743059
98,7,822.760395
-100,5,822.77383
-144,51,822.902778
100,4,822.909941
-109,16,822.9543
97,9,822.974154
99,6,822.99304
100,4,823.000357
-114,20,823.050898
98,7,823.070419
98,6,823.08544
100,6,823.100328
-101,5,823.113344
100,3,823.122447
91,13,823.153401
100,4,823.164307
96,9,823.187537
-105,11,823.214671
-101,6,823.229134
94,10,823.254716
100,5,823.267938
-104,10,823.294111
95,12,823.326535
100,3,823.331768
-124,30,823.409073
94,12,823.442195
-143,51,823.569311
97,9,823.592883
-121,28,823.662017
95,12,823.694564
97,10,823.719634
84,22,823.775077
90,16,823.813831
-108,14,823.850177
-100,3,823.859662
97,8,823.877462
100,3,823.886582
-143,51,824.014065
-100,4,824.025482
-144,51,824.155074
-102,9,824.179389
100,4,824.190299
-102,7,824.206117
94,14,824.24191
100,5,824.255118
100,3-143,51,824.3-143,51,824.39374
-118,25,824.45758
72,35,824.544867
94,14,824.581392
90,18,824.62458
100,5,824.637278
90,14,824.672942
99,8,824.694853
99,4,824.701541
98,6,824.719982
-144,51,824.848917
-104,10,824.875263
-103,7,824.891829
92,12,824.924096
92,14,824.956607
99,6,824.975159
-143,51,825.100643
99,5,825.113479
-144,51,825.238672
100,5,825.251024
96,10,82-144,51,825.313542
-101,7,8270,37,825.381838
-100,5,825-144,51,825.471013
-143,51,825.603322
97,10,825.629087
71,36,825.717729
83,24,825.77929
-146,51,825.908881
100,4,825.920116
-100,5,825.933312
77,28,826.002441
93,11,826.029249
100,4,826.040063
-143,51,826.163762
100,4,826.175149
-134,42,826.280529
-106,11,826.307811
100,5,826.320207
97,8,826.337158
-105,11,826.367752
92,15,826.406336
-102,6,826.421512
100,3,826.426756
93,14,826.462953
99,7,826.483189
96,8,826.500964
-108,13,826.535468
95,8,826.553167
90,16,826.600965
100,4,826.60849
99,4,826.620501
99,5,826.635349
87,18,826.683178
97,10,826.70846
-107,14,826.746475
88,18,826.787944
84,23,826.849234
-100,5,826.862114
92,12,826.891356
100,4,826.90319
-144,51,826.94281
100,5,826.955831
-111,19,827.005384
98,6,827.020136
-100,5,827.033173
94,11,827.059936-143,51,827.11105
80,26,827.178609
-143,51,827.306393
100,5,827.319848
100,4,827.330932
100,4,827.338696
97,6,827.356659-143,51,827.455044
100,6,827.473397
99,5,827.486197
95,11,827.513728
99,7,827.53081
-102,4,827.5427
94,11,827.570383
99,6,827.585355
97,9,827.609274
91,15,827.648625
-27,35,827.73802
-101,6,827.753303
92,14,827.790822
95,10,827.816523
99,5,827.829044
99,5,827.842456
100,5,827.855504
100,3,827.864915
91,13,827.895863
-100,3,827.90513
97,7,827.922388
-100,2,827.930144
-143,51,828.057172
-143,51,828.185957
100,4,828.196885
90,17,828.237732
-143,51,828.372791
98,7,828.389344
80,27,828.455628
78,29,828.532795
84,22,828.590761
-101,5,828.602987
-143,51,828.732552
98,7,828.749242
69,38,828.846952
91,14,828.88263
98,7,828.898931
-107,15,828.936783
-112,16,828.976237
-143,51,829.10482
100,4,829.116023
100,3,829.125388
-113,19,829.174127
96,10,829.19935
-100,4,829.206538
-143,51,829.33715
100,6,829.352571
98,8,829.371134
-101,6,829.390249
93,11,829.418173
100,3,829.423772
-143,51,829.555584
-143,51,829.682306
-105,10,829.708587
100,4,829.719183
97,8,829.739343
63,42,829.848475
100,4,829.855586
-143,51,829.994195
89,17,830.037153
-102,9,830.061031
-8,16,830.099778
100,4,830.110406
100,5,830.123087
100,6,830.137863
-143,51,830.266446
-101,6,830.281162
100,4,830.292009
100,4,830.302931
100,4,830.313864
-17,25,830.377048
-144,51,830.502427
96,11,830.531577
100,3,830.541156
95,11,830.568163
99,5,830.581205
-118,25,830.648649
91,15,830.689174
-117,24,830.752351
100,4,830.763216
100,5,830.775884
-132,38,830.869625
100,5,830.882155
95,12,830.91403
93,15,830.95376
99,4,830.961748
92,13,830.995812
100,4,831.006654
99,6,831.021189
100,4,831.031897
100,4,831.043072
94,12,831.072906
96,10,831.099651
95,10,831.126097
-109,16,831.166417
-144,51,831.29235
100,4,831.303486
-100,5,831.316852
100,3,831.326014
-143,51,831.454083
97,8,831.476368
-122,29,831.547984
99,5,831.560488
90,17,831.60546
76,31,831.685008
89,15,831.72332
92,15,831.762537
98,7,831.779083
-143,51,831.910715
97,11,831.93762
-144,51,832.060519
-113,19,832.110372
95,12,832.139514
-144,51,832.26543
-100,3,832.274853
100,4,832.285602
98,7,832.301739
93,13,832.336925
100,4,832.349446
59,48,832.469419
100,4,832.480383
97,9,832.504341
-144,51,832.632485
100,3,832.641664
99,6,832.65656
80,28,832.725234
-107,13,832.761432
-143,51,832.894245
-104,9,832.918296
92,14,832.954049
-102,8,832.971901
100,5,832.984754
-143,50,833.113477
100,4,833.124111
98,8,833.146646
-143,51,833.278264
94,12,833.307243
100,3,833.317184
99,6,833.334104
98,8,833.357925
97,6,833.375013
91,15,833.419683
-108,14,833.456939
98,7,833.473584
-113,20,833.524799
-109,15,833.561869
-104,9,833.586504
-113,20,833.636825
94,11,833.663101
91,13,833.697327
-144,51,833.824208
-30,38,833.928558
97,7,833.944466
100,3,833.953308
61,46,834.067354
97,9,834.090867
96,11,834.118369
100,3,834.123738
99,4,834.134777
-109,14,834.17163
98,5,834.183905
99,4,834.194464
99,5,834.207359
71,35,834.294859
-109,15,834.334756
98,8,834.35288
100,4,834.364136
100,4,834.375752
91,14,834.413405
-145,51,834.540758
94,11,834.567451
-144,51,834.692376
94,11,834.724071
100,3,834.729541
100,3,834.738317
98,6,834.753027
88,20,834.805168
98,7,834.820971
100,3,834.830375
100,4,834.841452
93,13,834.871831
-143,51,835.004322
-144,51,835.133388
100,3,835.138963
100,4,835.150172
-100,2,835.15796
-119,26,835.224647
-108,13,835.255392
88,19,835.304441
81,25,835.368697
92,12,835.401
-101,5,835.414019
99,5,835.426584
99,7,835.443983
-143,51,835.572226
95,8,835.596075
-100,2,835.599918
-102,7,835.622224
100,4,835.62963
100,5,835.643076
-145,51,835.780008
97,8,835.798865
-103,8,835.820486
98,7,835.836101
96,7,835.85585
100,3,835.862738
-100,3,835.872684
100,5,835.884981
94,9,835.909236
-105,11,835.937045
-128,34,836.024312
100,3,836.029372
100,3,836.038574
100,4,836.049343
-143,51,836.174459
100,5,836.187144
78,29,836.259751
-101,4,836.267346
100,3,836.276426
94,13,836.311033
-114,21,836.362826
-107,13,836.393544
100,5,836.406057
100,4,836.417283
100,3,836.426645
100,3,836.431906
100,5,836.444533
79,28,836.516787
65,42,836.621057
100,4,836.632042
97,8,836.653755
100,3,836.65944
88,19,836.708766
-144,51,836.837254
99,6,836.857048
99,6,836.872181
98,7,836.889358
83,20,836.942993
-101,6,836.958295
-144,51,837.088489
82,24,837.146382
97,8,837.167926
93,13,837.201881
100,3,837.207388
-143,51,837.337304
-109,15,837.377065
91,13,837.411009
-106,11,837.437695
-110,17,837.484124
-104,11,837.5108
100,4,837.521467
100,4,837.528704
100,4,837.539811
100,5,837.552558
100,4,837.56371
-144,51,837.69219
92,13,837.726475
99,6,837.740568
92,13,837.776755
-127,34,837.861172
94,13,837.895648
75,30,837.972518
89,18,838.01982
-144,51,838.148305
99,8,838.16725
-103,6,838.186019
-143,51,838.316276
-144,51,838.445645
97,7,838.46122
90,16,838.503002
100,3,838.508327
98,7,838.527492
-143,51,838.654969
100,4,838.665963
100,4,838.67295
100,4,838.684034
100,4,838.695012
100,4,838.705843
100,6,838.720531
72,35,838.812956
-143,51,838.942566
-143,51,839.077733
95,10,839.103784
91,17,839.149492
93,14,839.186536
73,33,839.268648
99,4,839.279536
-143,51,839.411869
-102,7,839.435196
95,11,839.46579
-101,6,839.482688
100,5,839.496699
-143,51,839.633993
-110,17,839.680423
99,7,839.696781
99,5,839.710272
100,4,839.721563
-144,51,839.848587
100,4,839.859994
100,4,839.871291
92,15,839.908792
99,7,839.924871
99,4,839.936097
92,13,839.967513
-109,14,840.004488
-100,4,840.015467
-102,7,840.03222
100,4,840.042915
100,4,840.053753
85,21,840.103676
-109,15,840.142154
-101,7,840.162623
-143,51,840.289018
97,10,840.314929
98,8,840.333147
96,10,840.360558
100,4,840.371496
-143,51,840.499469
99,7,840.520936
-101,7,840.537686
-102,8,840.560003
81,26,840.625772
81,26,840.69508
84,23,840.75971
96,7,840.776265
90,17,840.82086
100,5,840.833144
100,4,840.839935
100,6,840.857893
-144,51,840.986945
100,4,840.998019
100,5,841.011402
-108,14,841.044645
-103,9,841.068786
99,5,841.08191
97,8,841.10377
100,3,841.109474
-143,51,841.242461
-101,8,841.260159
100,4,841.270831
100,3,841.279901
-143,51,841.406352
88,19,841.456419
93,13,841.486865
-146,51,841.613786
87,18,841.661247
89,18,841.707753
-105,11,841.737369
89,14,841.774081
-143,51,841.902527
87,21,841.95648
97,7,841.972682
96,9,841.997579
-145,51,842.126049
94,10,842.151912
-101,5,842.164926
97,7,842.185668
-100,5,842.199047
-143,51,842.327489
-143,51,842.457907
-100,5,842.471246
-100,3,842.480645
100,4,842.491134
-144,51,842.621157
100,4,842.632566
74,33,842.711904
-102,7,842.732037
100,4,842.739286
-102,7,842.759232
100,3,842.764284
100,3,842.773643
100,3,842.782806
94,12,842.812177
96,8,842.833655
99,5,842.846307
99,5,842.859084
98,8,842.877447
95,12,842.910178
92,15,842.948248
98,6,842.963361
100,5,842.976177
-103,8,842.994899
85,19,843.044026
88,18,843.091806
100,6,843.107394
-105,10,843.13408
-115,20,843.184775
-144,51,843.315964
100,4,843.327032
-100,4,843.338548
91,12,843.369256
100,3,843.378514
99,7,843.395411
99,7,843.414959
99,5,843.427678
94,12,843.456418
94,12,843.485352
-144,51,843.614929
97,7,843.631679
-143,51,843.757178
99,5,843.769352
-144,51,843.897191
98,6,843.916373
95,12,843.945907
100,4,843.957192
-103,6,843.971964
88,15,844.009887
99,5,844.022907
-113,19,844.072668
-100,4,844.083522
98,7,844.099743
100,4,844.111213
98,8,844.129968
100,4,844.140879
92,12,844.172876
-104,9,844.191439
100,3,844.200087
-107,14,844.234479
-104,11,844.262472
100,3,844.271844
100,3,844.277064
-102,7,844.297692
72,35,844.384787
100,4,844.391991
100,4,844.40268
100,4,844.413558
100,4,844.42466
99,6,844.439608
83,22,844.496494
70,37,844.595676
-135,41,844.699269
-143,51,844.827731
-110,17,844.873081
-100,4,844.880569
-103,6,844.899003
100,3,844.904361
100,4,844.915785
100,4,844.927023
-102,7,844.943648
100,4,844.954438
-101,5,844.967657
100,4,844.978241
-111,19,845.027273
100,3,845.032748
-100,5,845.045904
-143,51,845.174919
100,6,845.194463
97,9,845.214821
91,13,845.250653
95,11,845.27924
100,3,845.288282
96,10,845.314239
76,31,845.393771
100,6,845.408385
100,4,845.419526
100,5,845.43213
-100,2,845.435622
80,28,845.507527
97,8,845.529125
100,3,845.534647
100,3,845.543751
98,6,845.558764
98,6,845.573337
-7,15,845.612152
82,24,845.677435
99,5,845.690758
-109,16,845.736159
100,4,845.747307
72,35,845.836291
95,10,845.861549
-103,9,845.885685
-125,31,845.960837
-115,22,846.01466
-109,15,846.053502
100,4,846.064446
86,21,846.117005
-104,12,846.15065
-100,3,846.156044
100,4,846.166755
-110,15,846.205807
100,4,846.216514
-103,8,846.238696
-107,14,846.271583
-100,6,846.289989
99,7,846.306537
94,12,846.33528
-100,4,846.346221
99,5,846.358985
100,3,846.36828
-101,5,846.381777
100,3,846.386958
-107,12,846.420804
99,6,846.435166
99,5,846.447961
83,25,846.510761
-100,3,846.520157
100,3,846.525512
99,7,846.545857
100,3,846.551206
97,9,846.574696
97,9,846.598545
100,6,846.613118
95,12,846.642709
-144,51,846.774142
-101,6,846.789176
100,3,846.794252
-114,19,846.843042
98,8,846.864906
100,5,846.877798
92,14,846.913285
100,4,846.920824
-112,17,846.966365
100,3,846.971478
-100,4,846.982393
92,15,847.021214
99,5,847.034496
-143,51,847.16166
98,8,847.183631
98,7,847.200493
-103,9,847.224431
89,18,847.271709
87,18,847.315258
100,4,847.325825
-100,6,847.340513
-143,51,847.467356
-145,51,847.596438
100,4,847.607168
100,3,847.612513
97,9,847.635118
-143,51,847.764538
100,5,847.777578
68,39,847.8769
100,4,847.887675
99,6,847.902209
-117,23,847.962318
98,9,847.982002
88,19,848.031692
87,20,848.083727
78,29,848.156877
-145,51,848.285178
98,5,848.298441
94,11,848.326584
98,7,848.347616
98,6,848.363039
-100,4,848.375452
86,21,848.428265
62,44,848.538232
-109,15,848.577668
-144,51,848.702852
-103,9,848.726559
86,21,848.777964
70,37,848.870895
-118,25,848.934862
-101,7,848.955375
100,6,848.969412
96,8,848.991634
99,5,849.005135
-103,8,849.02381
95,12,849.057503
100,4,849.064868
96,10,849.093474
93,13,849.129754
-143,51,849.257371
99,5,849.270985
-143,51,849.398392
-110,16,849.44377
100,5,849.456904
72,35,849.545188
99,7,849.562135
-144,51,849.692796
99,4,849.704101
-109,16,849.746829
89,16,849.787665
86,20,849.839979
-106,13,849.875689
95,11,849.903263
-41,49,850.027338
-121,29,850.100193
-100,4,850.110942
100,3,850.116154
-106,12,850.149239
100,5,850.16171
98,7,850.178712
99,5,850.191623
100,5,850.204669
100,5,850.217774
89,17,850.260665
98,8,850.283738
100,4,850.295238
90,16,850.336334
95,11,850.36485
-143,51,850.491837
-113,21,850.548368
-107,12,850.576104
100,4,850.586789
-110,17,850.628858
90,17,850.675914
-144,51,850.811232
88,18,850.855374
97,9,850.879217
96,10,850.904776
92,14,850.943463
-144,51,851.070744
96,9,851.09421
99,5,851.106717
98,7,851.12241
93,11,851.15149
-100,4,851.159019
92,14,851.195123
100,5,851.20798
100,4,851.219144
98,8,851.242
99,7,851.259123
94,12,851.287904
98,5,851.299836
100,4,851.310471
99,6,851.324932
100,4,851.336011
89,18,851.383819
58,49,851.509734
-108,12,851.537664
-105,10,851.562605
100,5,851.57501
-102,8,851.596618
100,4,851.603478
93,11,851.634481
-106,13,851.665401
86,21,851.717409
-135,41,851.822312
94,12,851.850804
93,13,851.885676
93,11,851.913268
99,7,851.930359
100,5,851.944082
-117,23,852.003889
-143,51,852.131088
100,4,852.142119
100,3,852.147458
-144,51,852.279728
-122,29,852.3474
100,3,852.356507
88,18,852.404036
-144,51,852.530256
98,7,852.547203
100,5,852.560443
98,7,852.580634
-123,29,852.650657
96,8,852.671757
100,4,852.68258
72,34,852.767229
92,15,852.806401
97,8,852.824612
98,7,852.844983
97,9,852.865119
98,9,852.88884
74,33,852.975113
97,9,852.998689
100,4,853.006171
-26,34,853.09387
100,4,853.105069
-143,51,853.23202
-108,15,853.269703
-100,5,853.283355
88,19,853.333183
97,9,853.356861
100,3,853.36229
-133,38,853.457701
-101,6,853.473316
95,11,853.500443
-110,17,853.547707
97,8,853.566381
99,4,853.577635
100,3,853.587168
-100,3,853.593131
99,6,853.611769
100,4,853.619331
91,15,853.657341
84,22,853.716271
97,10,853.742123
-100,3,853.747427
100,4,853.758607
-146,51,853.888809
76,31,853.971628
97,9,853.991797
-111,17,854.037289
90,14,854.071681
-113,18,854.114799
-143,51,854.243427
97,8,854.265342
98,8,854.287111
100,4,854.294153
-100,3,854.303694
100,4,854.315005
97,9,854.339447
-138,45,854.453272
-105,12,854.482726
96,9,854.506903
-143,51,854.634939
100,3,854.644373
99,4,854.651313
-144,51,854.779951
-100,6,854.794919
100,4,854.80577
-115,22,854.861226
98,7,854.877512
100,4,854.888811
96,10,854.914732
95,10,854.940957
90,16,854.981529
92,13,855.015981
96,9,855.040096
100,5,855.052968
99,4,855.06374
100,4,855.07064
98,6,855.088988
89,18,855.133313
100,4,855.144652
100,3,855.153662
-143,51,855.283756
91,15,855.321696
63,45,855.435292
99,8,855.454552
-119,26,855.524942
99,4,855.531997
-106,12,855.563118
100,4,855.573417
-144,51,855.702571
-100,5,855.71637
99,5,855.729755
-104,8,855.748094
67,41,855.856004
85,22,855.91062
97,9,855.934217
87,19,855.983246
95,11,856.009628
91,16,856.050397
96,9,856.07448
-100,6,856.090044
98,6,856.105023
-143,51,856.233603
100,4,856.245047
-108,15,856.284232
-100,5,856.297251
100,4,856.308032
-106,13,856.342068
98,6,856.356265
-120,27,856.423599
100,4,856.434371
-103,8,856.456672
100,3,856.461825
-143,51,856.593642
98,8,856.618298
-145,51,856.751762
100,4,856.762975
-101,6,856.77773
-100,5,856.791023
-100,4,856.801831
-143,51,856.92705
100,3,856.936337
92,14,856.97372
-100,3,856.979665
-101,7,857.0003
-102,9,857.020445
100,6,857.039174
100,4,857.046376
65,42,857.155431
97,8,857.173392
98,9,857.197093
-102,7,857.218243
-103,8,857.236909
89,19,857.286819
100,4,857.29792
-143,51,857.426882
97,9,857.451991
-143,51,857.576943
99,5,857.590012
-143,51,857.718638
98,9,857.742474
100,4,857.753945
100,4,857.765259
90,17,857.808507
93,13,857.842195
99,6,857.856001
77,31,857.936074
100,5,857.949635
100,4,857.960625
100,5,857.973274
99,6,857.988089
98,8,858.010298
-103,7,858.026753
98,9,858.049851
99,5,858.062766
-114,21,858.114955
-144,51,858.239456
-114,21,858.292801
95,11,858.323128
100,4,858.330345
-112,19,858.379033
100,4,858.389891
100,3,858.399444
99,4,858.406558
81,26,858.476256
-113,20,858.526752
-100,3,858.532182
96,10,858.556734
85,21,858.609725
-144,51,858.742782
-100,4,858.750284
-101,5,858.763287
-103,7,858.783534
99,4,858.794268
94,11,858.821502
75,33,858.899936
93,14,858.936352
100,4,858.94724
-105,11,858.97364
89,17,859.016868
100,4,859.023839
97,8,859.046314
89,17,859.08884
97,7,859.109138
91,16,859.149307
-143,51,859.279026
-102,8,859.301286
-125,32,859.381566
96,10,859.407586
100,4,859.418746
89,14,859.45598
94,12,859.485728
-100,5,859.498537
-100,4,859.510216
93,13,859.545573
95,10,859.570881
100,7,859.586606
100,4,859.596899
97,7,859.611559
100,3,859.620431
82,25,859.683773
-144,51,859.814793
96,8,859.837425
-107,14,859.869175
-104,11,859.900538
97,7,859.918667
-101,7,859.93782
-106,12,859.970978
98,8,859.989151
100,4,860.000366
99,6,860.015207
80,26,860.083338
100,3,860.088678
96,10,860.114387
-112,19,860.163578
95,11,860.190576
97,10,860.216908
90,17,860.262862
-127,34,860.346205
100,5,860.359213
99,7,860.380654
-107,14,860.417636
93,11,860.444868
-101,7,860.460991
-106,13,860.49572
-145,51,860.620985
-114,21,860.675822
-107,13,860.711557
95,11,860.738568
98,7,860.754531
-106,14,860.791439
100,3,860.800516
94,11,860.828011
100,4,860.838956
99,6,860.85358
100,4,860.864328
99,6,860.878295
99,7,860.894505
-143,51,861.026671
99,5,861.039698
98,7,861.056124
100,5,861.069603
98,8,861.092927
99,4,861.100516
87,21,861.158756
-143,51,861.286052
91,12,861.316003
86,21,861.367556
96,8,861.388823
98,6,861.403248
100,6,861.418316
99,4,861.428989
-100,2,861.43687
100,4,861.444632
100,3,861.454395
100,3,861.46363
76,31,861.542412
-101,6,861.557609
100,5,861.569996
88,19,861.617089
90,17,861.658614
100,6,861.673356
-143,51,861.806138
-100,6,861.821377
100,3,861.826688
97,7,861.84628
-100,4,861.85746
98,5,861.869733
100,5,861.88225
79,28,861.953697
98,8,861.975859
100,4,861.986973
-100,3,861.99278
100,4,862.003702
100,4,862.015018
100,4,862.026467
-104,11,862.053298
-103,10,862.078469
-143,51,862.203889
100,3,862.213393
-144,51,862.342331
-101,6,862.357118
97,8,862.37925
99,4,862.386801
-101,7,862.408341
-143,51,862.533262
99,5,862.546164
100,3,862.555341
98,6,862.5709
96,10,862.597061
-100,2,862.601264
100,5,862.614005
76,30,862.688823
97,8,862.710882
100,4,862.722156
-128,35,862.811002
100,3,862.816666
95,10,862.842403
98,6,862.857005
96,8,862.878516
99,5,862.891474
98,6,862.906236
77,30,862.982747
99,4,862.994254
92,14,863.032285
