#{"t_start": 1676295043.749491, "env_id": null}
r,l,t
-102,6,46.42199
-101,5,46.434517
-115,20,46.484327
-100,3,46.489366
95,10,46.513614
99,4,46.524417
-120,27,46.592194
-127,34,46.681148
68,39,46.782528
91,14,46.81817
79,28,46.883771
98,6,46.901755
-102,6,46.916564
97,6,46.930503
89,18,46.974912
-102,7,46.991331
93,12,47.017393
83,23,47.077897
-144,51,47.203245
-102,7,47.222624
-109,14,47.256081
-117,24,47.319297
-143,51,47.441442
-102,6,47.460192
-126,32,47.538924
94,12,47.567732
91,16,47.610977
97,7,47.626681
-105,10,47.651844
96,9,47.67504
84,22,47.728483
97,7,47.748483
96,9,47.768183
-104,8,47.79069
-118,25,47.853802
-103,7,47.869588
91,13,47.903089
-143,51,48.028614
-102,7,48.049297
-145,51,48.173036
100,4,48.183861
-104,9,48.203487
97,8,48.226175
-102,7,48.243389
-117,24,48.303674
-103,9,48.326928
-112,18,48.373377
74,33,48.45261
-102,5,48.465317
81,26,48.531277
-144,51,48.663129
91,15,48.701451
84,22,48.755394
83,24,48.816363
89,18,48.859546
83,24,48.919754
97,8,48.941155
-104,9,48.964764
93,12,48.992039
-143,51,49.124775
93,13,49.158887
83,23,49.213887
-103,7,49.233943
-144,51,49.360664
-138,45,49.469444
90,16,49.508235
93,14,49.544048
-111,16,49.58445
96,9,49.608003
-113,20,49.658047
-105,10,49.683584
-104,8,49.705061
89,16,49.743332
83,23,49.802086
94,10,49.826631
74,33,49.911747
93,13,49.945737
99,5,49.958339
65,43,50.064754
75,32,50.148123
-107,13,50.180224
-110,16,50.22052
81,24,50.281631
93,13,50.316542
95,10,50.341751
-105,10,50.367459
97,8,50-143,51,5-119,26,50.454886
59,48,50.572704
-122,29,50.646153
-113,19,50.6948
-122,28,50.760184
-105,10,50.785317
95,10,50.811419
69,38,50.90532
-144,51,51.035567
98,7,51.056619
-102,6,51.071372
-123,30,51.144803
-145,51,51.267146
-144,51,51.395046
-116,22,51.451116
77,30,51.526006
-103,10,51.552289
-102,6,51.566871
-144,51,51.694003
-102,7,51.711198
97,9,51.734931
-114,20,51.785507
-101,5,51.798052
95,11,51.824346
81,25,51.887413
81,26,51.954756
-118,24,52.01307
-126,33,52.095614
-144,51,52.220937
-116,23,52.282568
-109,14,52.320148
-105,10,52.345965
98,7,52.362121
-109,16,52.402646
-143,51,52.527132
87,19,52.575157
-144,51,52.697693
-104,10,52.722983
-106,11,52.754927
-114,20,52.807037
-144,51,52.9335
-124,31,53.007883
83,24,53.067298
95,10,53.092213
95,12,5-143,51,5381,26,53.185893
-102,7,53.83,24,53.233762
-110,16,53.27296
-100,4,53.284525
89,18,53.328106
95,10,53.354283
-105,10,53.380936
-102,7,53.401047
-10-144,51,53.47887
75,31,53.560794
-106,12,53.590032
-104,9,53.61-144,588,17,53.6563-108-139,46,53.774449
-145,51,53.906538
75,32,53.98462
-106,11,54.011555
-105,10,54.036525
-102,9,54.059408
-144,51,54.18589
-102,7,54.206381
-103,6,54.220884
-143,51,54.342616
89,16,54.382767
-108,14,54.420029
-100,5,54.432687
96,9,54.455351
68,38,54.546751
-101,5,54.559061
-104,10,54.584278
-144,51,54.711704
-143,51,54.84169
100,4,54.853013
97,8,54.8703
98,8,54.892222
86,20,54.942711
77,29,55.012647
96,10,55.037388
85,21,55.088069
-111,18,55.129817
95,9,55.152736
94,12,55.18709
-117,23,55.247849
96,10,55.275241
96,10,55.30149
76,31,55.383608
-1-144,51,55.4059792,69,38,55.49771-1266,41,55.600393
99,6,55.618964
99,4,55.626148
-12-133,39,55.71300-144,51,55.818089
73,33,55.898558
-1-145,51,55.94189-11-103,8,55.963749-144,51,56.086636
93,14,56.123358
-113,19,56.170889
-143,51,56.294723
96,8,56.316738
86,20,56.365313
96,9,56.388321
-104-111,16,56.41-102,795,10,56.442239
-107,13,56.47681
95,11,56.73,34,5-112,17,56-118,24,56.612266
-106,11,56.639484
-109,15,56.676232
90,16,56.718924
98,7,56.735488
-116,22,56.789794
99,6,56.-144,51,56.889286
-109,15,56.927797
-102,7,56.943967
-1-144,51,57.076565
-106,12,57.107841
-131,37,57.197376
91,15,57.235497
89,16,57.274264
95,10,57.300433
100,4,57.311493
-144,51,57.447807
-133,39,57.546347
86,20,57.595542
90,17,57.637204
-127,34,57.722864
-102,6,57.736629
-144,51,57.867361
-107,12,57.897103
98,6,57.912312
-143,51,58.037221
-144,51,58.174733
97,6,58.189666
99,6,58.205384
-144,51,58.334169
100,5,58.346812
-108,14,58.383876
-134,41,58.485796
92,13,58.524734
-144,51,58.65687
95,11,58.684041
-128,34,58.772944
98,7,58.789294
-143,51,58.92088
-144,51,59.046059
93,12,59.074826
92,14,59.111409
-107,12,59.140556
78,28,59.213156
96,8,59.235
-143,51,59.362144
80,27,59.429273
79,28,59.501118
65,42,59.603092
-144,51,59.730302
88,18,59.778742
98,7,59.795182
-100,3,59.804678
97,8,59.826606
